size,room,year,floor,top_floor,price
80,2,2007,5,9,33000000
105,4,1993,7,9,39900000
67,3,1980,1,5,15500000
70,3,1996,3,9,20000000
54,2,1961,2,3,30000000
91,4,1979,5,5,34000000
65,3,1980,4,5,21000000
33,1,1967,1,4,11400000
90,4,1980,5,5,27700000
39,1,1955,4,4,13000000
39,1,1955,4,4,13000000
50,1,2018,3,10,21500000
74,3,1997,3,9,24800000
75,3,1968,2,4,24500000
98,2,2008,4,12,30500000
137,3,2016,8,12,35880000
92,3,2016,9,12,25760000
120,3,2016,10,13,33600000
84,2,2016,8,15,21840000
138,4,2017,4,15,35880000
56,1,2016,12,15,15680000
56,1,2016,12,15,15680000
84,2,2017,3,15,21840000
139,3,2016,5,16,44000000
113,3,1983,6,7,40200000
109,4,1973,5,5,96000000
92,3,2010,8,13,35500000
52,2,2010,6,15,16300000
105,3,2006,5,12,37000000
90,4,1961,2,4,37500000
88,4,1988,5,5,44000000
72,4,1974,4,5,20900000
53,2,1983,5,5,15000000
34,1,1981,5,5,13500000
57,2,2001,8,9,18000000
33,1,1984,1,5,13000000
53,2,1972,9,9,19500000
50,1,1992,6,7,15000000
50,1,1992,6,7,15000000
40,2,1963,2,2,16000000
73,3,1986,9,9,26500000
77,3,1984,2,9,45000000
66,3,1980,2,5,23700000
60,3,1974,1,4,19000000
31,1,1964,1,4,11500000
54,2,1970,5,5,16300000
44,2,1969,2,5,17000000
28,1,1974,2,4,9000000
80,3,2016,8,18,33000000
42,2,1973,1,4,13800000
43,2,1970,4,4,15839000
53,2,1980,4,5,16000000
53,2,1980,4,5,16000000
42,2,1975,3,5,17000000
32,1,1965,3,4,13000000
73,3,1983,4,5,26000000
56,2,1978,2,7,17500000
67,3,1988,1,5,23200000
65,3,1985,4,9,19300000
52,2,1992,8,9,17500000
72,2,1986,6,6,15400000
141,3,2015,3,15,58500000
140,3,2011,10,20,42000000
54,2,1992,3,9,18000000
67,3,1988,3,5,19000000
24,1,1964,5,5,7000000
31,1,1961,4,4,11000000
40,1,1967,6,7,14500000
55,2,1960,3,4,23500000
90,3,2008,15,18,26800000
67,3,1985,2,5,19000000
90,3,2008,15,18,26800000
140,3,2009,20,20,37000000
67,3,1985,2,5,19000000
31,1,1961,4,4,11000000
27,1,2016,6,13,10700000
65,2,1976,7,7,27000000
62,2,2016,16,18,21500000
41,1,1992,6,9,11000000
51,2,1983,3,5,17000000
42,2,1969,2,4,17300000
40,1,1982,6,9,12000000
57,2,1981,4,5,18000000
75,4,1978,2,5,22400000
31,1,1973,1,4,11300000
42,2,1985,3,5,14300000
70,3,1990,4,5,20300000
136,4,2015,12,16,69000000
41,2,1970,4,4,13000000
64,3,1985,4,5,24000000
55,2,1983,5,5,18000000
41,2,1970,4,4,13000000
55,2,1983,5,5,18000000
33,1,1979,4,5,9900000
43,2,1977,3,5,14500000
19,1,1956,2,3,5000000
57,3,1957,1,2,13300000
29,1,1993,6,6,9800000
40,2,1963,2,4,13999999
58,2,1988,9,10,18200000
110,3,1982,2,5,40000000
38,1,1978,4,7,13500000
72,4,1973,4,5,21200000
55,2,1973,2,5,18200000
72,2,2012,10,18,22000000
64,2,1972,4,5,23000000
96,2,2007,10,18,29000000
70,3,1985,8,9,23500000
48,2,1977,2,5,19500000
54,2,1980,4,5,18500000
37,1,1968,2,4,11000000
36,1,1985,9,9,11000000
22,1,1975,2,5,6900000
42,2,1975,5,5,15500000
52,2,1960,3,3,19000000
59,3,1979,1,5,19999990
33,1,1979,4,5,9900000
40,1,1989,7,9,16900000
37,1,1968,2,4,11000000
158,3,2011,3,13,60000000
31,1,1966,4,4,11500000
67,3,1977,4,5,24800000
52,2,1985,4,5,16500000
72,2,2012,10,18,22000000
67,3,1984,6,9,20300000
60,3,1978,3,5,17500000
53,2,1983,2,5,16000000
40,1,1987,7,9,16500000
33,2,1985,4,4,6800000
34,1,1981,3,5,11500000
56,2,1978,2,7,17500000
43,2,1974,5,5,12000000
160,5,1981,4,5,57000000
39,1,1988,6,9,12200000
53,2,1939,3,3,25500000
92,3,2008,8,12,35000000
73,3,1995,2,9,23500000
130,3,2012,8,13,31000000
72,3,1986,5,5,25000000
72,3,1991,2,5,30500000
39,1,1989,8,9,12700000
56,3,1970,4,5,16600000
68,3,1982,4,5,20000000
70,3,1989,7,9,28000000
85,4,1987,4,5,44999999
70,3,1989,9,9,19490000
85,4,1995,5,5,27500000
50,2,1971,2,5,17300000
110,4,1969,1,4,32000000
56,2,1978,2,7,17300000
35,1,1963,3,4,13000000
85,4,1995,5,5,27500000
30,1,1981,1,5,9200000
130,4,2015,14,16,69000000
63,3,1993,2,6,21800000
77,3,1956,2,3,31000000
65,3,1977,1,5,18700000
90,4,1980,2,5,29000000
130,3,2007,3,9,65700000
93,4,1938,2,3,37500000
81,3,1989,4,5,27500000
53,2,1983,3,5,17300000
58,3,1959,2,2,17000000
68,3,1986,9,9,16300000
52,1,2006,5,9,19500000
52,2,1985,2,5,23360000
96,3,2018,6,10,38000000
40,2,1962,2,4,15000000
70,2,1970,4,5,25800000
151,3,2011,2,9,41500000
85,3,1975,2,5,32400000
70,3,1974,5,5,23500000
